0.4199999, 0, 0, 5.948032, 1.563143, 0, 419.7378, -1478.245, -3.908116, 0.01207565, 0.1239967, 28.89945, 2.06354, 1.627834, 11.79117
 
0.4299999, -0.406294, 0, 6.058811, 1.566644, 3.4650771863004849943262582220, 440.0407, -1479.082, -3.908116, 0.01207565, 0.1239967, 29.59054, 1.887637, 1.627308, 11.79773
 
0.4399998, -0.4185937, -0.00406294, 6.170042, 1.570149, 3.3815800833303862028865940130, 460.8893, -1479.92, -3.908116, 0.01207565, 0.1239967, 30.28384, 1.890661, 1.626783, 11.8043
 
0.4499998, -0.4308071, -0.008248877, 6.281718, 1.573659, 3.3009870363188871150376361979, 482.287, -1480.759, -3.908116, 0.01207565, 0.1239967, 30.97931, 1.893623, 1.626257, 11.81086
 
0.4599998, -0.442916, -0.01255695, 6.393785, 1.577124, 3.2230688603092694561771013609, 504.2362, -1481.599, -3.908116, 0.01207565, 0.1239967, 31.67688, 1.896527, 1.625732, 11.81743
 
0.4699998, -0.4549006, -0.01698611, 6.506236, 1.580545, 3.1476261957843742230881293386, 526.7401, -1482.44, -3.908116, 0.01207565, 0.1239967, 32.37652, 1.899379, 1.625206, 11.82399
 
0.4799998, -0.4667405, -0.02153511, 6.619215, 1.584069, 3.0744659622669372347404414689, 549.802, -1483.282, -3.908116, 0.01207565, 0.1239967, 33.0782, 1.902181, 1.624681, 11.83056
 
0.4899998, -0.478415, -0.02620252, 6.73247, 1.587449, 3.0034107768795333999687587882, 573.4249, -1484.126, -3.908116, 0.01207565, 0.1239967, 33.78188, 1.904939, 1.624156, 11.83712
 
0.4999998, -0.4899009, -0.03098667, 6.846189, 1.590884, 2.9342942450644868516352706870, 597.6109, -1484.97, -3.908116, 0.01207565, 0.1239967, 34.48752, 1.907656, 1.62363, 11.84368
 
0.5099998, -0.5011758, -0.03588568, 6.960274, 1.594273, 2.8669703791438937023069346053, 622.3636, -1485.815, -3.908116, 0.01207565, 0.1239967, 35.19509, 1.910335, 1.623105, 11.85025
 
0.5199998, -0.5122159, -0.04089743, 7.07477, 1.597667, 2.8012931914398343669509316831, 647.6865, -1486.661, -3.908116, 0.01207565, 0.1239967, 35.90457, 1.912981, 1.622579, 11.85681
 
0.5299998, -0.5229952, -0.04601959, 7.189622, 1.601016, 2.7371323918741655600003375619, 673.5817, -1487.508, -3.908116, 0.01207565, 0.1239967, 36.61592, 1.915597, 1.622054, 11.86338
 
0.5399998, -0.5334881, -0.05124955, 7.304878, 1.604369, 2.6743671089286097755677645836, 700.0526, -1488.357, -3.908116, 0.01207565, 0.1239967, 37.32913, 1.918186, 1.621528, 11.86994
 
0.5499998, -0.5436661, -0.05658443, 7.420478, 1.607677, 2.6128811803648223976055934405, 727.1005, -1489.206, -3.908116, 0.01207565, 0.1239967, 38.04412, 1.920752, 1.621003, 11.87651
 
0.5599998, -0.5535022, -0.06202109, 7.536474, 1.61099, 2.5525741415442351095320993258, 754.7299, -1490.056, -3.908116, 0.01207565, 0.1239967, 38.76092, 1.923297, 1.620477, 11.88307
 
0.5699998, -0.5629664, -0.06755611, 7.652865, 1.614306, 2.4933423883083243348723785327, 782.944, -1490.908, -3.908116, 0.01207565, 0.1239967, 39.47952, 1.925824, 1.619952, 11.88964
 
0.5799997, -0.5720268, -0.07318578, 7.769593, 1.617577, 2.4350933048184099067776535051, 811.744, -1491.76, -3.908116, 0.01207565, 0.1239967, 40.19984, 1.928337, 1.619426, 11.8962
 
0.5899997, -0.5806531, -0.07890604, 7.88666, 1.620803, 2.3777421240356998081320939372, 841.1345, -1492.613, -3.908116, 0.01207565, 0.1239967, 40.92192, 1.930838, 1.618901, 11.90276
 
0.5999997, -0.5888099, -0.08471257, 8.00416, 1.624082, 2.3212056486813796517664589735, 871.1176, -1493.467, -3.908116, 0.01207565, 0.1239967, 41.64572, 1.933329, 1.618375, 11.90933
 
0.6099997, -0.5964622, -0.09060067, 8.121985, 1.627315, 2.2654116697964784601376339093, 901.6943, -1494.323, -3.908116, 0.01207565, 0.1239967, 42.37116, 1.935814, 1.61785, 11.91589
 
